"Duration,""Start Time"",""Profile Name"",""Country"",""Bookmark"",""Latest Bookmark"",""Supplemental Video Type"",""Attributes"",""Device Type"",""Title""";;;
"00:00:53,""2026-01-16 00:00:30"",""Ryan"",""BR (Brazil)"",""00:00:53"",""00:00:53"",""HOOK"","""",""MStar PureTurnkey51 Express luck 4K Smart TV"",""Teen Titans Go!: Season 1_hook_primary_16x9""";;;
"00:01:18,""2026-01-15 23:59:09"",""Ryan"",""BR (Brazil)"",""00:01:18"",""00:01:18"",""HOOK"",""Autoplayed: user action: None";" "",""MStar PureTurnkey51 Express luck 4K Smart TV"",""The Amazing World of Gumball: Season 1_hook_primary_16x9""";;
"01:40:59,""2026-01-15 22:18:06"",""Ryan"",""BR (Brazil)"",""01:40:59"",""01:40:59"","""",""Autoplayed: user action: User_Interaction";" "",""MStar PureTurnkey51 Express luck 4K Smart TV"",""O Touro Ferdinando""";;
"00:05:00,""2026-01-15 02:18:45"",""Ryan"",""BR (Brazil)"",""00:13:32"",""Not latest view"","""",""Autoplayed: user action: User_Interaction";" "",""MStar PureTurnkey51 Express luck 4K Smart TV"",""D1ÁR10S: Temporada 2: Episódio 3 (episódio 3)""";;
"00:03:28,""2026-01-15 02:12:46"",""Ryan"",""BR (Brazil)"",""00:33:42"",""00:33:42"","""","""",""MStar PureTurnkey51 Express luck 4K Smart TV"",""Elite: Temporada 1: Sábado à noite (episódio 3)""";;;
"00:08:30,""2026-01-14 11:54:40"",""Ryan"",""BR (Brazil)"",""00:08:36"",""Not latest view"","""","""",""MStar PureTurnkey51 Express luck 4K Smart TV"",""D1ÁR10S: Temporada 2: Episódio 3 (episódio 3)""";;;
"00:24:25,""2026-01-14 11:30:12"",""Ryan"",""BR (Brazil)"",""00:25:15"",""00:25:15"","""",""Autoplayed: user action: User_Interaction";" "",""MStar PureTurnkey51 Express luck 4K Smart TV"",""D1ÁR10S: Temporada 2: Episódio 2 (episódio 2)""";;
"00:07:24,""2026-01-14 11:22:32"",""Ryan"",""BR (Brazil)"",""00:39:31"",""00:39:31"","""","""",""MStar PureTurnkey51 Express luck 4K Smart TV"",""D1ÁR10S: Temporada 2: Episódio 1 (episódio 1)""";;;
"00:34:04,""2026-01-14 10:47:33"",""Ryan"",""BR (Brazil)"",""00:34:57"",""Not latest view"","""","""",""MStar PureTurnkey51 Express luck 4K Smart TV"",""D1ÁR10S: Temporada 2: Episódio 1 (episódio 1)""";;;
"00:26:20,""2026-01-14 10:21:11"",""Ryan"",""BR (Brazil)"",""00:26:34"",""00:26:34"","""",""Autoplayed: user action: User_Interaction";" "",""MStar PureTurnkey51 Express luck 4K Smart TV"",""D1ÁR10S: Temporada 1: Episódio 15 (episódio 15)""";;
